2023/06/06 09:49:35 epoch: 1, lr: 0.0010000, loss: 0.0757, p1: 47.08, p2: 36.85
2023/06/06 10:23:26 epoch: 2, lr: 0.0009500, loss: 0.0468, p1: 45.94, p2: 36.23
2023/06/06 10:57:16 epoch: 3, lr: 0.0009025, loss: 0.0419, p1: 44.86, p2: 35.59
2023/06/06 11:31:06 epoch: 4, lr: 0.0008574, loss: 0.0397, p1: 46.27, p2: 36.25
2023/06/06 12:04:56 epoch: 5, lr: 0.0008145, loss: 0.0383, p1: 45.71, p2: 36.36
2023/06/06 12:38:45 epoch: 6, lr: 0.0004073, loss: 0.0361, p1: 44.61, p2: 35.50
2023/06/06 13:12:35 epoch: 7, lr: 0.0003869, loss: 0.0356, p1: 45.17, p2: 35.68
2023/06/06 13:46:24 epoch: 8, lr: 0.0003675, loss: 0.0352, p1: 44.97, p2: 35.73
2023/06/06 14:20:14 epoch: 9, lr: 0.0003492, loss: 0.0349, p1: 45.34, p2: 36.01
2023/06/06 14:54:03 epoch: 10, lr: 0.0003317, loss: 0.0347, p1: 45.60, p2: 36.13
2023/06/06 15:27:52 epoch: 11, lr: 0.0001659, loss: 0.0339, p1: 45.91, p2: 36.18
2023/06/06 16:01:41 epoch: 12, lr: 0.0001576, loss: 0.0337, p1: 45.48, p2: 36.01
2023/06/06 16:36:22 epoch: 13, lr: 0.0001497, loss: 0.0336, p1: 45.25, p2: 35.83
